Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,sell,other
2021-01-30,1379.56,1406.0,1326.41,1378.05,1040042.2363,1612051199999,1414231402.54388340,1013174,508185.46266000,691043000.99942650,0
2021-01-31,1378.04,1380.74,1281.12,1312.55,958704.85571,1612137599999,1276842259.97134880,828176,448756.56134000,597602925.78056310,0
2021-02-01,1312.45,1377.99,1269.99,1374.17,1096397.91862,1612223999999,1449463766.72379510,915584,550007.37258000,727808340.67551960,0
2021-02-02,1374.09,1547.9,1360.28,1511.87,1944227.99878,1612310399999,2821617332.39978510,1614541,986022.09176000,1431300798.43024110,0
2021-02-03,1511.93,1669.35,1508.39,1664.49,1535869.88801,1612396799999,2418887041.58756150,1384979,793334.97198000,1249029451.14196070,0
2021-02-04,1664.67,1695.2,1554.44,1595.67,1646502.32962,1612483199999,2693099602.27560810,1507993,825236.64834000,1350478681.24540390,0
2021-02-05,1595.53,1760.49,1591.0,1719.19,1194123.29946,1612569599999,2011685911.16688670,1326415,600948.63761000,1012301493.08615330,0
2021-02-06,1718.95,1743.67,1642.94,1676.35,1149808.33101,1612655999999,1940057857.94389820,1152167,565703.52545000,954941828.40177990,0
2021-02-07,1676.35,1693.0,1490.46,1611.62,1281734.86814,1612742399999,2044371589.02327640,1263737,618789.69751000,987284129.73539090,0
2021-02-08,1611.46,1775.57,1563.89,1750.15,1339777.09536,1612828799999,2255426926.01997780,1372788,677614.29512000,1141288384.54742980,0
2021-02-09,1749.68,1821.88,1708.49,1769.13,1185071.89593,1612915199999,2080818891.69890500,1173421,593423.36868000,1042666171.18075090,0
2021-02-10,1769.14,1837.86,1680.0,1740.78,1219932.25474,1613001599999,2149076144.40765770,1279140,605462.91818000,1067949000.52371340,0
2021-02-11,1740.76,1819.0,1703.44,1785.62,735079.82699,1613087999999,1301681871.56326880,935602,367056.14118000,650153645.44318730,0
